DATE,STATE_CD,PREDICTION
8/8/2020,AN,88
8/8/2020,AP,10908
8/8/2020,AR,77
8/8/2020,AS,1700
8/8/2020,BR,3167
8/8/2020,CH,36
8/8/2020,CT,412
8/8/2020,DL,1056
8/8/2020,DN,62
8/8/2020,GA,393
8/8/2020,GJ,1386
8/8/2020,HP,97
8/8/2020,HR,965
8/8/2020,JH,493
8/8/2020,JK,593
8/8/2020,KA,6610
8/8/2020,KL,1226
8/8/2020,LA,20
8/8/2020,MH,10484
8/8/2020,ML,44
8/8/2020,MN,122
8/8/2020,MP,942
8/8/2020,MZ,11
8/8/2020,NL,85
8/8/2020,OR,1534
8/8/2020,PB,986
8/8/2020,PY,223
8/8/2020,RJ,1252
8/8/2020,SK,27
8/8/2020,TG,1906
8/8/2020,TN,5822
8/8/2020,TR,187
8/8/2020,UP,4287
8/8/2020,UT,314
8/8/2020,WB,2934
8/9/2020,AN,87
8/9/2020,AP,11506
8/9/2020,AR,96
8/9/2020,AS,1908
8/9/2020,BR,3071
8/9/2020,CH,39
8/9/2020,CT,377
8/9/2020,DL,1043
8/9/2020,DN,53
8/9/2020,GA,379
8/9/2020,GJ,1300
8/9/2020,HP,119
8/9/2020,HR,882
8/9/2020,JH,801
8/9/2020,JK,614
8/9/2020,KA,6652
8/9/2020,KL,1122
8/9/2020,LA,11
8/9/2020,MH,8475
8/9/2020,ML,26
8/9/2020,MN,92
8/9/2020,MP,991
8/9/2020,MZ,12
8/9/2020,NL,62
8/9/2020,OR,1525
8/9/2020,PB,849
8/9/2020,PY,230
8/9/2020,RJ,1327
8/9/2020,SK,28
8/9/2020,TG,1707
8/9/2020,TN,6580
8/9/2020,TR,201
8/9/2020,UP,4468
8/9/2020,UT,287
8/9/2020,WB,3035
8/10/2020,AN,86
8/10/2020,AP,11277
8/10/2020,AR,68
8/10/2020,AS,2714
8/10/2020,BR,2987
8/10/2020,CH,43
8/10/2020,CT,327
8/10/2020,DL,1000
8/10/2020,DN,49
8/10/2020,GA,436
8/10/2020,GJ,1171
8/10/2020,HP,111
8/10/2020,HR,979
8/10/2020,JH,859
8/10/2020,JK,628
8/10/2020,KA,6665
8/10/2020,KL,1077
8/10/2020,LA,14
8/10/2020,MH,8900
8/10/2020,ML,30
8/10/2020,MN,93
8/10/2020,MP,956
8/10/2020,MZ,13
8/10/2020,NL,93
8/10/2020,OR,1587
8/10/2020,PB,710
8/10/2020,PY,239
8/10/2020,RJ,1311
8/10/2020,SK,25
8/10/2020,TG,1818
8/10/2020,TN,6368
8/10/2020,TR,178
8/10/2020,UP,4636
8/10/2020,UT,207
8/10/2020,WB,3724
8/11/2020,AN,79
8/11/2020,AP,11755
8/11/2020,AR,92
8/11/2020,AS,3631
8/11/2020,BR,2975
8/11/2020,CH,40
8/11/2020,CT,435
8/11/2020,DL,958
8/11/2020,DN,57
8/11/2020,GA,466
8/11/2020,GJ,1338
8/11/2020,HP,80
8/11/2020,HR,865
8/11/2020,JH,1382
8/11/2020,JK,599
8/11/2020,KA,6674
8/11/2020,KL,1318
8/11/2020,LA,26
8/11/2020,MH,9681
8/11/2020,ML,28
8/11/2020,MN,117
8/11/2020,MP,1401
8/11/2020,MZ,0
8/11/2020,NL,123
8/11/2020,OR,1583
8/11/2020,PB,1040
8/11/2020,PY,248
8/11/2020,RJ,1337
8/11/2020,SK,35
8/11/2020,TG,1923
8/11/2020,TN,6326
8/11/2020,TR,197
8/11/2020,UP,4651
8/11/2020,UT,377
8/11/2020,WB,3221
8/12/2020,AN,79
8/12/2020,AP,12256
8/12/2020,AR,84
8/12/2020,AS,2657
8/12/2020,BR,3524
8/12/2020,CH,47
8/12/2020,CT,439
8/12/2020,DL,686
8/12/2020,DN,53
8/12/2020,GA,380
8/12/2020,GJ,1125
8/12/2020,HP,78
8/12/2020,HR,1084
8/12/2020,JH,1129
8/12/2020,JK,627
8/12/2020,KA,6891
8/12/2020,KL,1276
8/12/2020,LA,18
8/12/2020,MH,10822
8/12/2020,ML,26
8/12/2020,MN,108
8/12/2020,MP,1132
8/12/2020,MZ,11
8/12/2020,NL,92
8/12/2020,OR,1636
8/12/2020,PB,841
8/12/2020,PY,216
8/12/2020,RJ,1372
8/12/2020,SK,32
8/12/2020,TG,1879
8/12/2020,TN,5975
8/12/2020,TR,198
8/12/2020,UP,4937
8/12/2020,UT,335
8/12/2020,WB,3300
8/13/2020,AN,93
8/13/2020,AP,12561
8/13/2020,AR,92
8/13/2020,AS,2824
8/13/2020,BR,3489
8/13/2020,CH,43
8/13/2020,CT,438
8/13/2020,DL,557
8/13/2020,DN,63
8/13/2020,GA,444
8/13/2020,GJ,1218
8/13/2020,HP,98
8/13/2020,HR,1321
8/13/2020,JH,1370
8/13/2020,JK,620
8/13/2020,KA,7279
8/13/2020,KL,1262
8/13/2020,LA,13
8/13/2020,MH,11383
8/13/2020,ML,30
8/13/2020,MN,114
8/13/2020,MP,997
8/13/2020,MZ,15
8/13/2020,NL,92
8/13/2020,OR,1688
8/13/2020,PB,784
8/13/2020,PY,254
8/13/2020,RJ,1324
8/13/2020,SK,27
8/13/2020,TG,2039
8/13/2020,TN,6650
8/13/2020,TR,199
8/13/2020,UP,5564
8/13/2020,UT,325
8/13/2020,WB,3193
8/14/2020,AN,67
8/14/2020,AP,12881
8/14/2020,AR,84
8/14/2020,AS,3283
8/14/2020,BR,3910
8/14/2020,CH,42
8/14/2020,CT,442
8/14/2020,DL,529
8/14/2020,DN,55
8/14/2020,GA,304
8/14/2020,GJ,1281
8/14/2020,HP,83
8/14/2020,HR,1519
8/14/2020,JH,1314
8/14/2020,JK,631
8/14/2020,KA,7443
8/14/2020,KL,1338
8/14/2020,LA,18
8/14/2020,MH,11241
8/14/2020,ML,35
8/14/2020,MN,98
8/14/2020,MP,1676
8/14/2020,MZ,12
8/14/2020,NL,98
8/14/2020,OR,1827
8/14/2020,PB,912
8/14/2020,PY,158
8/14/2020,RJ,1350
8/14/2020,SK,28
8/14/2020,TG,2098
8/14/2020,TN,6702
8/14/2020,TR,201
8/14/2020,UP,5768
8/14/2020,UT,293
8/14/2020,WB,3270
8/15/2020,AN,85
8/15/2020,AP,13117
8/15/2020,AR,91
8/15/2020,AS,3476
8/15/2020,BR,4658
8/15/2020,CH,45
8/15/2020,CT,516
8/15/2020,DL,674
8/15/2020,DN,68
8/15/2020,GA,425
8/15/2020,GJ,1432
8/15/2020,HP,138
8/15/2020,HR,1200
8/15/2020,JH,1056
8/15/2020,JK,638
8/15/2020,KA,7989
8/15/2020,KL,1335
8/15/2020,LA,22
8/15/2020,MH,11357
8/15/2020,ML,36
8/15/2020,MN,141
8/15/2020,MP,1228
8/15/2020,MZ,12
8/15/2020,NL,94
8/15/2020,OR,1757
8/15/2020,PB,909
8/15/2020,PY,245
8/15/2020,RJ,1392
8/15/2020,SK,27
8/15/2020,TG,2089
8/15/2020,TN,6805
8/15/2020,TR,181
8/15/2020,UP,5457
8/15/2020,UT,430
8/15/2020,WB,3536
8/16/2020,AN,91
8/16/2020,AP,13259
8/16/2020,AR,96
8/16/2020,AS,3012
8/16/2020,BR,4505
8/16/2020,CH,44
8/16/2020,CT,512
