State,State_Code,District,Tier
Andaman and Nicobar Islands,AN,Unknown, Tier-3 
Andhra Pradesh,AP,Anantapur, Tier-3 
Andhra Pradesh,AP,Chittoor, Tier-3 
Andhra Pradesh,AP,East Godavari, Tier-2 
Andhra Pradesh,AP,Guntur, Tier-2 
Andhra Pradesh,AP,Krishna, Tier-2 
Andhra Pradesh,AP,Kurnool, Tier-2 
Andhra Pradesh,AP,Prakasam, Tier-3 
Andhra Pradesh,AP,S.P.S. Nellore, Tier-2 
Andhra Pradesh,AP,Srikakulam, Tier-3 
Andhra Pradesh,AP,Visakhapatnam, Tier-2 
Andhra Pradesh,AP,West Godavari, Tier-3 
Andhra Pradesh,AP,Y.S.R. Kadapa, Tier-3 
Arunachal Pradesh,AR,Lohit, Tier-3 
Assam,AS,Cachar, Tier-3 
Assam,AS,Dhubri, Tier-3 
Assam,AS,Goalpara, Tier-3 
Assam,AS,Golaghat, Tier-3 
Assam,AS,Hailakandi, Tier-3 
Assam,AS,Kamrup, Tier-3 
Assam,AS,Kamrup Metropolitan, Tier-2 
Assam,AS,Karimganj, Tier-3 
Assam,AS,Lakhimpur, Tier-3 
Assam,AS,Morigaon, Tier-3 
Assam,AS,Nalbari, Tier-3 
Assam,AS,Other State, Tier-3 
Assam,AS,South Salmara Mankachar, Tier-3 
Bihar,BR,Arwal, Tier-3 
Bihar,BR,Aurangabad, Tier-2 
Bihar,BR,Banka, Tier-3 
Bihar,BR,Begusarai, Tier-3 
Bihar,BR,Bhagalpur, Tier-3 
Bihar,BR,Bhojpur, Tier-3 
Bihar,BR,Buxar, Tier-3 
Bihar,BR,East Champaran, Tier-3 
Bihar,BR,Gaya, Tier-3 
Bihar,BR,Gopalganj, Tier-3 
Bihar,BR,Jehanabad, Tier-3 
Bihar,BR,Kaimur, Tier-3 
Bihar,BR,Lakhisarai, Tier-3 
Bihar,BR,Madhepura, Tier-3 
Bihar,BR,Munger, Tier-3 
Bihar,BR,Nalanda, Tier-3 
Bihar,BR,Nawada, Tier-3 
Bihar,BR,Patna, Tier-2 
Bihar,BR,Rohtas, Tier-3 
Bihar,BR,Saran, Tier-3 
Bihar,BR,Siwan, Tier-3 
Bihar,BR,Vaishali, Tier-3 
Chandigarh,CH,Chandigarh, Tier-2 
Chhattisgarh,CT,Bilaspur, Tier-2 
Chhattisgarh,CT,Durg, Tier-2 
Chhattisgarh,CT,Korba, Tier-3 
Chhattisgarh,CT,Raipur, Tier-2 
Chhattisgarh,CT,Rajnandgaon, Tier-3 
Delhi,DL,Delhi, Tier-1 
Goa,GA,North Goa, Tier-2 
Goa,GA,South Goa, Tier-2 
Gujarat,GJ,Ahmedabad, Tier-1 
Gujarat,GJ,Anand, Tier-3 
Gujarat,GJ,Aravalli, Tier-3 
Gujarat,GJ,Banaskantha, Tier-3 
Gujarat,GJ,Bharuch, Tier-3 
Gujarat,GJ,Bhavnagar, Tier-2 
Gujarat,GJ,Botad, Tier-3 
Gujarat,GJ,Chhota Udaipur, Tier-3 
Gujarat,GJ,Dahod, Tier-3 
Gujarat,GJ,Dang, Tier-3 
Gujarat,GJ,Gandhinagar, Tier-3 
Gujarat,GJ,Gir Somnath, Tier-3 
Gujarat,GJ,Jamnagar, Tier-2 
Gujarat,GJ,Kheda, Tier-3 
Gujarat,GJ,Kutch, Tier-3 
Gujarat,GJ,Mahisagar, Tier-3 
Gujarat,GJ,Mehsana, Tier-3 
Gujarat,GJ,Morbi, Tier-3 
Gujarat,GJ,Narmada, Tier-3 
Gujarat,GJ,Navsari, Tier-3 
Gujarat,GJ,Panchmahal, Tier-3 
Gujarat,GJ,Patan, Tier-3 
Gujarat,GJ,Porbandar, Tier-3 
Gujarat,GJ,Rajkot, Tier-2 
Gujarat,GJ,Sabarkantha, Tier-3 
Gujarat,GJ,Surat, Tier-2 
Gujarat,GJ,Surendranagar, Tier-3 
Gujarat,GJ,Tapi, Tier-3 
Gujarat,GJ,Vadodara, Tier-2 
Gujarat,GJ,Valsad, Tier-3 
Himachal Pradesh,HP,Chamba, Tier-3 
Himachal Pradesh,HP,Hamirpur, Tier-2 
Himachal Pradesh,HP,Kangra, Tier-3 
Himachal Pradesh,HP,Sirmaur, Tier-3 
Himachal Pradesh,HP,Solan, Tier-3 
Himachal Pradesh,HP,Una, Tier-3 
Haryana,HR,Ambala, Tier-3 
Haryana,HR,Bhiwani, Tier-3 
Haryana,HR,Charkhi Dadri, Tier-3 
Haryana,HR,Faridabad, Tier-2 
Haryana,HR,Fatehabad, Tier-3 
Haryana,HR,Gurugram, Tier-2 
Haryana,HR,Hisar, Tier-3 
Haryana,HR,Italians, Tier-3 
Haryana,HR,Jind, Tier-3 
Haryana,HR,Kaithal, Tier-3 
Haryana,HR,Karnal, Tier-3 
Haryana,HR,Kurukshetra, Tier-3 
Haryana,HR,Nuh, Tier-3 
Haryana,HR,Palwal, Tier-3 
Haryana,HR,Panchkula, Tier-3 
Haryana,HR,Panipat, Tier-3 
Haryana,HR,Rohtak, Tier-3 
Haryana,HR,Sirsa, Tier-3 
Haryana,HR,Sonipat, Tier-3 
Haryana,HR,Yamunanagar, Tier-3 
Jharkhand,JH,Bokaro, Tier-2 
Jharkhand,JH,Deoghar, Tier-3 
Jharkhand,JH,Dhanbad, Tier-2 
Jharkhand,JH,Garhwa, Tier-3 
Jharkhand,JH,Giridih, Tier-3 
Jharkhand,JH,Hazaribagh, Tier-3 
Jharkhand,JH,Koderma, Tier-3 
Jharkhand,JH,Palamu, Tier-3 
Jharkhand,JH,Ranchi, Tier-2 
Jharkhand,JH,Simdega, Tier-3 
Jammu and Kashmir,JK,Anantnag, Tier-3 
Jammu and Kashmir,JK,Bandipora, Tier-3 
Jammu and Kashmir,JK,Baramulla, Tier-3 
Jammu and Kashmir,JK,Budgam, Tier-3 
Jammu and Kashmir,JK,Ganderbal, Tier-3 
Jammu and Kashmir,JK,Jammu, Tier-2 
Jammu and Kashmir,JK,Kathua, Tier-3 
Jammu and Kashmir,JK,Kishtwar, Tier-3 
Jammu and Kashmir,JK,Kulgam, Tier-3 
Jammu and Kashmir,JK,Kupwara, Tier-3 
Jammu and Kashmir,JK,Pulwama, Tier-3 
Jammu and Kashmir,JK,Rajouri, Tier-3 
Jammu and Kashmir,JK,Ramban, Tier-3 
